,Model,MAE,MSE,R2,Bias,Variance,RSS
0,"RandomForestRegressor(criterion='mae', n_jobs=-1, verbose=2)",3.439535226136237,151.31379286448492,0.9860034233148024,28.005348365443385,0.9983280089520228,7070169278824.893
1,"RandomForestRegressor(max_features='log2', n_jobs=-1)",3.2644205513575586,133.1907369536771,0.9876348441492376,29.927885876837497,0.9982132285369923,7057432259727.804
2,"RandomForestRegressor(criterion='mae', n_jobs=-1)",3.448309812201356,150.13919597733084,0.986110109231176,26.84512951821036,0.9983972769897188,7069672953412.513
3,Ridge(alpha=1),6.87074537029446,580.5369190442858,0.9440009082746814,787.2850081891063,0.9529970679628048,6926396948917.307
4,ElasticNet(alpha=0.1),7.628666559816443,671.0196120810443,0.9342551984116744,910.2198050063204,0.9456575456301022,6874424930515.0205
5,Lasso(alpha=1),6.655139470486812,363.33751926134255,0.964089193623192,438.52704913635233,0.9738188116468278,6845687255761.122
6,"LinearSVR(C=0.1, epsilon=0)",6.259562692461918,634.6187632240672,0.9293865043170636,952.810836004848,0.9431147519599642,6480376585584.192
7,"LinearSVR(C=0.1, epsilon=0)",6.258520556686925,634.8169660636702,0.9292811020062856,953.7402040188888,0.9430592663084566,6476958770762.152
8,"LinearSVR(C=10, epsilon=0)",6.134380858725178,587.37829604542,0.937240099382786,868.7157759431722,0.948135442499766,6600468071489.769
0,"SVR(C=20, epsilon=0, kernel='linear')",6.132815819685517,588.7384091700125,0.9368600481106242,871.1861720572824,0.9479879535225231,6589225156214.253
1,"LinearSVR(C=1, epsilon=0)",6.13113907114257,592.6182360548744,0.9359951519607008,878.2357073954613,0.9475670782017083,6568076709317.726
