,svm__kernel,svm__gamma,svm__degree,svm__C,neg_mean_squared_error,r2,neg_mean_absolute_error
0,linear,scale,2,0.5,-1543.3588857165255,0.9018756094287088,-9.259303768496972
1,poly,scale,2,0.5,-4233.168842722242,0.7949909001676151,-23.058121368440176
2,rbf,scale,2,0.5,-16534.374657075627,0.25548327276844535,-19.097261722168945
3,linear,auto,2,0.5,-1543.3367870792772,0.9017149139773006,-9.243125279421024
4,poly,auto,2,0.5,-4096.468358468465,0.7966887139885087,-22.951307835611814
5,rbf,auto,2,0.5,-16541.302924513348,0.2552698615895882,-19.10535113369636
6,linear,scale,3,0.5,-1542.4392214485297,0.9020558798581274,-9.249426659931677
7,poly,scale,3,0.5,-3343.708885306789,0.829519799015311,-21.065285600694818
8,rbf,scale,3,0.5,-16533.443891865183,0.2555260659856549,-19.096323188990745
9,linear,auto,3,0.5,-1542.4392214485297,0.9020558798581274,-9.249426659931677
10,poly,auto,3,0.5,-3361.461751431074,0.828306509935556,-21.092636988488675
11,rbf,auto,3,0.5,-16541.116052054975,0.2552424524077943,-19.096937368194453
12,linear,scale,2,1.0,-1501.157564114968,0.9079663607786437,-9.077766114703339
13,poly,scale,2,1.0,-3655.7906169045536,0.8189022228506262,-21.834901512984068
14,rbf,scale,2,1.0,-15437.321484570937,0.3139236404824235,-17.513409003972157
15,linear,auto,2,1.0,-1508.715746155306,0.9076188629111551,-9.074397682336317
16,poly,auto,2,1.0,-3459.2582091454256,0.8265580742409404,-21.54178889363817
17,rbf,auto,2,1.0,-15443.773246219958,0.3136100299185469,-17.513999541223306
18,linear,scale,3,1.0,-1501.287790742658,0.9079408340610007,-9.078804046633778
19,poly,scale,3,1.0,-3306.925817228458,0.8347094011011675,-20.728445341033748
20,rbf,scale,3,1.0,-15438.524152745984,0.31378612695609254,-17.498429515595802
21,linear,auto,3,1.0,-1508.8459727829963,0.9075933361935122,-9.075435614266755
22,poly,auto,3,1.0,-3220.636670907419,0.8365169268260033,-20.663337653753473
23,rbf,auto,3,1.0,-15469.7894054028,0.3132237371858276,-17.546771349094488
24,linear,scale,2,5.0,-1575.708583769691,0.9115160010008092,-8.993026195413126
25,poly,scale,2,5.0,-2916.4350267723335,0.8427647194129866,-19.69890912776986
26,rbf,scale,2,5.0,-12999.782211006604,0.4709477092923524,-14.425611102546636
27,linear,auto,2,5.0,-1575.708583769691,0.9115160010008092,-8.993026195413126
28,poly,auto,2,5.0,-2956.476404476207,0.8366695850011397,-19.707496554074048
29,rbf,auto,2,5.0,-13025.158430603175,0.46960211275658903,-14.387715912914675
30,linear,scale,3,5.0,-1499.1199889221807,0.9173732090805902,-8.8202758471346
31,poly,scale,3,5.0,-3227.217278399805,0.8461739460000068,-19.748877948559237
32,rbf,scale,3,5.0,-12999.740259218896,0.47095566181530735,-14.425416478102079
33,linear,auto,3,5.0,-1564.6735371082768,0.9120748416139949,-8.988083505711046
34,poly,auto,3,5.0,-3238.932652026796,0.8460895249700536,-19.65861419583033
35,rbf,auto,3,5.0,-13025.232713336893,0.46958662750839647,-14.387421358173919
